subj_idx,session,block,trial,stimulus,response,rt,prevstim,prevresp,prevrt,prev2resp,prev3resp,prev2stim,prev3stim,prev2rt,prev3rt
1,2,3,33,-1,0,1.539,-1,-1,0.110297822734714,-1,-1,1,-1,0.911645667255948,-0.814241792391041
1,2,3,34,1,1,1.079,-1,-1,0.911645667255948,-1,-1,-1,1,0.110297822734714,0.911645667255948
1,2,3,35,1,1,1.192,1,1,-1.0894374852306,-1,-1,-1,-1,0.911645667255948,0.110297822734714
1,2,3,36,1,1,1.135,1,1,-0.528173975410657,1,-1,1,-1,-1.0894374852306,0.911645667255948
1,2,3,37,-1,0,1.284,1,1,-0.804302996842081,1,1,1,1,-0.528173975410657,-1.0894374852306
1,2,3,38,-1,0,1.105,-1,-1,-0.109203064714811,1,1,1,1,-0.804302996842081,-0.528173975410657
1,2,3,39,-1,0,1.22,-1,-1,-0.95525744104391,-1,1,-1,1,-0.109203064714811,-0.804302996842081
1,2,3,40,1,1,1.191,-1,-1,-0.397332046998664,-1,-1,-1,-1,-0.95525744104391,-0.109203064714811
1,2,3,41,1,0,1.074,1,1,-0.53290355656577,-1,-1,-1,-1,-0.397332046998664,-0.95525744104391
1,2,3,42,-1,0,1.133,1,-1,-1.11561168749,1,-1,1,-1,-0.53290355656577,-0.397332046998664
1,2,3,43,1,1,1.193,-1,-1,-0.814241792391041,-1,1,1,1,-1.11561168749,-0.53290355656577
1,2,3,44,1,1,1.076,1,1,-0.523448360361798,-1,-1,-1,1,-0.814241792391041,-1.11561168749
1,2,3,45,-1,0,0.989,1,1,-1.10512741355326,1,-1,1,-1,-0.523448360361798,-0.814241792391041
1,2,3,46,1,0,2.094,-1,-1,-1.58024712758828,1,1,1,1,-1.10512741355326,-0.523448360361798
1,2,3,47,-1,1,1.481,1,-1,2.64699695659458,-1,1,-1,1,-1.58024712758828,-1.10512741355326
1,2,3,48,-1,0,1.631,-1,1,0.695163985307775,-1,-1,1,-1,2.64699695659458,-1.58024712758828
1,2,3,49,-1,1,1.482,-1,-1,1.23883357241965,1,-1,-1,1,0.695163985307775,2.64699695659458
1,2,3,50,-1,0,1.337,-1,1,0.698967762445467,-1,1,-1,-1,1.23883357241965,0.695163985307775
1,2,3,51,-1,0,1.338,-1,-1,0.118733895590906,1,-1,-1,-1,0.698967762445467,1.23883357241965
1,2,3,52,1,1,1.017,-1,-1,0.122947200920285,-1,1,-1,-1,0.118733895590906,0.698967762445467
1,2,3,53,-1,0,1.161,1,1,-1.42292058153516,-1,-1,-1,-1,0.122947200920285,0.118733895590906
1,2,3,54,1,1,1.161,-1,-1,-0.676668894636828,1,-1,1,-1,-1.42292058153516,0.122947200920285
1,2,3,55,-1,1,1.377,1,1,-0.676668894636828,-1,1,-1,1,-0.676668894636828,-1.42292058153516
1,2,3,56,1,1,1.426,-1,1,0.284856333384529,1,-1,1,-1,-0.676668894636828,-0.676668894636828
1,2,3,57,1,1,1.306,1,1,0.481900656061328,1,1,-1,1,0.284856333384529,-0.676668894636828
1,2,3,58,1,1,0.96,1,1,-0.0134660103743377,1,1,1,-1,0.481900656061328,0.284856333384529
1,2,3,59,-1,0,0.988,1,1,-1.74795942616735,1,1,1,1,-0.0134660103743377,0.481900656061328
1,2,3,60,1,1,1.161,-1,-1,-1.58594798352772,1,1,1,1,-1.74795942616735,-0.0134660103743377
1,2,3,61,-1,0,1.077,1,1,-0.676668894636828,-1,1,-1,1,-1.58594798352772,-1.74795942616735
1,2,3,62,-1,1,1.02,-1,-1,-1.09989258213592,1,-1,1,-1,-0.676668894636828,-1.58594798352772
1,2,3,63,-1,1,1.364,-1,1,-1.40632176065191,-1,1,-1,1,-1.09989258213592,-0.676668894636828
1,2,3,64,-1,1,1.25,-1,1,0.231401833343235,1,-1,-1,-1,-1.40632176065191,-1.09989258213592
1,2,3,65,-1,0,1.016,-1,1,-0.260435543074858,1,1,-1,-1,0.231401833343235,-1.40632176065191
1,2,3,66,-1,0,1.368,-1,-1,-1.42846440452583,1,1,-1,-1,-0.260435543074858,0.231401833343235
1,2,3,67,1,1,1.335,-1,-1,0.247903442837471,-1,1,-1,-1,-1.42846440452583,-0.260435543074858
1,2,3,68,1,0,1.39,1,1,0.110297822734714,-1,-1,-1,-1,0.247903442837471,-1.42846440452583
1,2,3,69,-1,0,1.598,1,-1,0.337808543020899,1,-1,1,-1,0.110297822734714,0.247903442837471
1,2,3,70,1,0,1.624,-1,-1,1.12364544597621,-1,1,1,1,0.337808543020899,0.110297822734714
1,2,3,71,1,1,1.306,1,-1,1.21459570444997,-1,-1,-1,1,1.12364544597621,0.337808543020899
1,2,3,72,-1,1,1.276,1,1,-0.0134660103743377,-1,-1,1,-1,1.21459570444997,1.12364544597621
1,2,3,73,1,1,1.541,-1,1,-0.144423776962941,1,-1,1,1,-0.0134660103743377,1.21459570444997
1,2,3,74,-1,0,1.047,1,1,0.918964234019045,1,1,-1,1,-0.144423776962941,-0.0134660103743377
